PLUKKLISTE 14940
Pl.listenr;PlLinjeNr;Prioritet;Fra butikk;Til butikk;Listenavn;BuntNr;ArtikkelNr;LevKod;Beskr;LevFargKod;Antall;AntallPlukket;Diff;Størrelse;StrKode;VarGr;Plukket;Overført;Endret
14940;1;9;20;1;Overf. til Redbergsvägen;0;19997;3-78663-203 PLAY GTX;Metro  20/10, PA 22/10, RV 27/10  X-p 750:-;00203 BLACK/GREY;1;2;-1;29;94;22;?;?;17/01/18
14940;2;9;20;1;Overf. til Redbergsvägen;0;30434;870K56527AP586SU00;;P586;1;2;-1;42;3;7;?;?;17/01/18
14940;3;9;20;1;Overf. til Redbergsvägen;0;101006;15014-100;33-7020;SVART;1;2;-1;39;8;33;?;?;17/01/18
14940;4;9;20;1;Overf. til Redbergsvägen;0;101725;217093-53960  FELICIA  MED GORETEX;FD 32-9011;53960  BLACK;1;2;-1;41;2;32;?;?;17/01/18
14940;5;9;20;1;Overf. til Redbergsvägen;0;104653;500;37-9063;DK BROWN;1;2;-1;40;1;37;?;?;17/01/18
14940;6;9;20;1;Overf. til Redbergsvägen;0;104752;4954ANT0;;ANTRACIT;1;2;-1;44;5;14;?;?;17/01/18
14940;7;9;20;1;Overf. til Redbergsvägen;0;105140;836023 LIGHT IV;FD 611042   delvis post;51052 BLK/BLK SYNT /TEXTIL;1;2;-1;40;1;61;?;?;17/01/18
14940;8;9;20;1;Overf. til Redbergsvägen;0;105364;1742382801 JACK MID M;KEY;BLACK/BEIGE;1;2;-1;41;2;7;?;?;17/01/18
14940;9;9;20;1;Overf. til Redbergsvägen;0;105511;78562-00;PROSPEKT 1;A SIDAN;00 SCHWARZ;1;2;-1;40;1;34;?;?;17/01/18
14940;10;9;20;1;Overf. til Redbergsvägen;0;105797;4431161-01;SATA;01-SVART;1;2;-1;39;8;36;?;?;17/01/18
14940;11;9;20;1;Overf. til Redbergsvägen;0;105977;1201372 YXHULT XC;19-26;933 FLORAL;1;2;-1;20;105;20;?;?;17/01/18
14940;12;9;20;1;Overf. til Redbergsvägen;0;106036;3501-10777   ELLA;;01 BLACK;1;2;-1;40;1;34;?;?;17/01/18
14940;13;9;20;1;Overf. til Redbergsvägen;0;106096;MS070R0-2;;CALF BLACK;1;2;-1;44;5;2;?;?;17/01/18
