Butikk;Artikkelnr;Vg/LøpNr;Lev.art.Nr;Varetekst;Lev.farge;Str;AntPar;AntTalt;Salgsverdi;VVAreKost;Rabatt;AntDiff;VerdiDiff;Pris;Tilb.pris;Oppdatert;Strekkode;OpprVerdi;OpptaltVerdi;Sesong;Avd;Avd beskr;Hg;Hg beskr;Vg;Vg beskr;Levnr;Leverandør;EndretDato;BrukerId
40;9839435;710061/42;98165;COLLEGIATE BACK PACK;413;ONESIZE;2;2;0;175;0;2;350;700;0;Nei;7325700249935;350;0;201503;1;Øvrige;710;ACC-MEN;710061;E-Z FIT BD LS;40;GANT AB;31.01.2019;tomn
40;9850259;101025/94;851013503;FRAME DOUBLE DUVET;431;200X220;1;1;15120;432,5;0;-8;-3460;1680;0;Nei;7310845485737;432,5;3892,5;201801;2;Home;101;GIFTS-Home;101025;D/D PRINTED;40;GANT AB;31.01.2019;tomn
40;9850248;101022/112;851013502;FRAME SINGLE DUVET;431;140X200;6;6;0;281;0;6;1686;1085;0;Nei;7310845483764;1686;0;201801;2;Home;101;GIFTS-Home;101022;S/D PRINTED;40;GANT AB;31.01.2019;tomn
40;9850248;101022/112;851013502;FRAME SINGLE DUVET;431;140X220;8;8;6510;281;0;2;562;1085;0;Nei;7310845483788;2248;1686;201801;2;Home;101;GIFTS-Home;101022;S/D PRINTED;40;GANT AB;31.01.2019;tomn
40;9842289;180041/7;482507;G. KNITTED POLO TOP;5;XL;1;1;0;286;0;1;286;1120;0;Nei;7325701002409;286;0;201602;1;Øvrige;180;KNITWEAR;180041;VISCOSE;40;GANT AB;31.01.2019;tomn
40;9842289;180041/7;482507;G. KNITTED POLO TOP;5;XS;1;1;2240;286;0;-1;-286;1120;0;Nei;7325701002362;286;572;201602;1;Øvrige;180;KNITWEAR;180041;VISCOSE;40;GANT AB;31.01.2019;tomn
40;9841673;710061/52;98226;G. NYLON LEATHER 48 HOUR BAG;5;ONESIZE;3;3;4200;548,33;0;1;548,33;2100;0;Nei;7325700869867;1644,9999;1096,66;201701;1;Øvrige;710;ACC-MEN;710061;E-Z FIT BD LS;40;GANT AB;31.01.2019;tomn
40;9841669;710061/50;98224;G. NYLON LEATHER HOLD ALL;5;ONESIZE;14;14;39480;822,5;0;2;1645;3290;0;Nei;7325700869881;11515;9870;201701;1;Øvrige;710;ACC-MEN;710061;E-Z FIT BD LS;40;GANT AB;31.01.2019;tomn
40;9841670;710061/51;98225;G. NYLON LEATHER LAPTOP BAG;5;ONESIZE;16;16;50400;856,76;0;1;856,76;3360;0;Nei;7325700869874;13708,2352;12851,4;201701;1;Øvrige;710;ACC-MEN;710061;E-Z FIT BD LS;40;GANT AB;31.01.2019;tomn
40;9841042;100051/35;78035;G. SUEDE WINDCHEATER;410;XL;1;1;16800;2200;0;-1;-2200;8400;0;Nei;7325700928519;2200;4400;201601;1;Øvrige;100;OUTERWEAR;100051;LEATHER;40;GANT AB;31.01.2019;tomn
40;9843789;100022/161;74803;G2.WEAVE QUILT DOWN STADIUM JACKET;5; M;1;1;0;647,5;0;1;647,5;2590;0;Nei;7325701084658;647,5;0;201603;1;Øvrige;100;OUTERWEAR;100022;SYNTHETIC FIBER SHORT;40;GANT AB;31.01.2019;tomn
40;9843789;100022/161;74803;G2.WEAVE QUILT DOWN STADIUM JACKET;5; S;1;1;0;647,5;0;1;647,5;2590;0;Nei;7325701084641;647,5;0;201603;1;Øvrige;100;OUTERWEAR;100022;SYNTHETIC FIBER SHORT;40;GANT AB;31.01.2019;tomn
40;9843872;710061/63;98320;GANT ORIGINAL BAG;220;ONESIZE;2;2;560;175;0;1;175;560;0;Nei;7325701180107;350;175;201801;1;Øvrige;710;ACC-MEN;710061;E-Z FIT BD LS;40;GANT AB;31.01.2019;tomn
40;9847052;100041/87;7000001;LM. PANEL QUILTED VEST;436; L;9;9;14560;455;0;1;455;1820;0;Nei;7325701601008;4095;3640;201801;1;Øvrige;100;OUTERWEAR;100041;VEST;40;GANT AB;31.01.2019;tomn
40;9847053;100041/88;7000001;LM. PANEL QUILTED VEST;433; L;0;0;1820;455;0;-1;-455;1820;0;Nei;7325701600940;0;455;201801;1;Øvrige;100;OUTERWEAR;100041;VEST;40;GANT AB;31.01.2019;tomn
40;9846956;100022/196;7000000;LM. SHELL JACKET;436; XXL;1;1;0;490;0;1;490;1960;0;Nei;7325701600902;490;0;201702;1;Øvrige;100;OUTERWEAR;100022;SYNTHETIC FIBER SHORT;40;GANT AB;31.01.2019;tomn
40;9846956;100022/196;7000000;LM. SHELL JACKET;436;XL;5;5;11760;490;0;-1;-490;1960;0;Nei;7325701600896;2450;2940;201702;1;Øvrige;100;OUTERWEAR;100022;SYNTHETIC FIBER SHORT;40;GANT AB;31.01.2019;tomn
40;9851575;101025/107;851013703;MINI PAISLEY DOUBLE DUVET;611;200X220;7;7;13160;422,5;0;-1;-422,5;1645;0;Nei;7310845485331;2957,5;3380;201801;2;Home;101;GIFTS-Home;101025;D/D PRINTED;40;GANT AB;31.01.2019;tomn
40;9851559;101022/119;851013702;MINI PAISLEY SINGLE DUVET;611;140X220;1;1;0;281;0;1;281;1085;0;Nei;7310845483641;281;0;201801;2;Home;101;GIFTS-Home;101022;S/D PRINTED;40;GANT AB;31.01.2019;tomn
40;9850281;101021/42;851014002;MIX CHECK SINGLE DUVET;105;140X220;10;10;6860;253;0;3;759;980;0;Nei;7310845483153;2530;1771;201801;2;Home;101;GIFTS-Home;101021;S/D PRINTED;40;GANT AB;31.01.2019;tomn
40;9850281;101021/42;851014002;MIX CHECK SINGLE DUVET;105;140X200;8;8;10780;253;0;-3;-759;980;0;Nei;7310845483139;2024;2783;201801;2;Home;101;GIFTS-Home;101021;S/D PRINTED;40;GANT AB;31.01.2019;tomn
40;9850253;101021/40;851014102;NOTE SINGLE DUVET;110;140X200;5;5;0;263,5;0;5;1317,5;1015;0;Nei;7310845483061;1317,5;0;201801;2;Home;101;GIFTS-Home;101021;S/D PRINTED;40;GANT AB;31.01.2019;tomn
